gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ENSG00000134962,KLB,11.784760685785868,-0.39017700842750513,0.09623464329109283,-4.651434689305476,3.2963367340103924e-06,0.00019689594125474105,True
ENSG00000120885,CLU,87.24525971095316,-0.1779808317305609,0.04377421853106914,-4.628112771880151,3.6901306862277385e-06,0.0002105316665195194,True
ENSG00000145675,PIK3R1,15.762256671956912,-0.35059682181794194,0.0876199653911509,-4.6040168028026,4.144190051168617e-06,0.00023037446233162978,True
ENSG00000163520,FBLN2,59.20774549875469,-0.20166436202588484,0.0510967201342304,-4.533248610157099,5.808338403849411e-06,0.0003148119414886381,True
ENSG00000167526,RPL13,59.98117975799332,0.16995449527015788,0.04326269142068624,4.493017164146204,7.022112250502468e-06,0.00037131559412413047,True
ENSG00000137154,RPS6,65.58460598957403,0.15645808505267522,0.04030683783061996,4.447952933021311,8.669251910771615e-06,0.0004474985272036396,True
ENSG00000148053,NTRK2,29.706108266833688,-0.24391446131883585,0.06384097618515087,-4.437208484540029,9.11330177020002e-06,0.0004594799590184568,True
ENSG00000119280,C1orf198,17.02362030832055,-0.3348798487734231,0.08978077501824014,-4.377581157788016,1.2000368170573767e-05,0.0005781510709734206,True
ENSG00000204389,HSPA1A,15.592248644299007,0.310524783163733,0.0823663250973261,4.381148964089843,1.1805512213441253e-05,0.0005781510709734206,True
ENSG00000138413,IDH1,22.888112497733804,-0.25586018912310965,0.06942922794662336,-4.326359781022116,1.5159374402565545e-05,0.0007144679066252631,True
ENSG00000138356,AOX1,10.102830874518524,-0.3815165075086669,0.10454892838380207,-4.314762665774988,1.5977446070859845e-05,0.0007370021932260456,True
ENSG00000135535,CD164,49.36802712196997,-0.20078566434826967,0.05470477153199331,-4.296005357725197,1.739033809313614e-05,0.0007854636038733156,True
ENSG00000089280,FUS,20.479207637724826,0.26584221925336227,0.0726880115231516,4.284837851677868,1.8287251394133066e-05,0.000809117571887357,True
ENSG00000177954,RPS27,40.264266002041786,0.1876827591760867,0.05158826349482249,4.254420506149138,2.0959110122144504e-05,0.0009087870148961856,True
ENSG00000211445,GPX3,78.83441994049208,0.26912028159545737,0.07479481865045774,4.245616528276785,2.1799317938579516e-05,0.0009266847311929487,True
ENSG00000132386,SERPINF1,64.0723865274335,-0.14756659484095666,0.04122911481121265,-4.199112131261321,2.6796360830218205e-05,0.001117202120767559,True
ENSG00000162337,LRP5,18.44437253230619,0.2752788555361746,0.07839635760143636,4.164890555850661,3.115019574784828e-05,0.0012236732828713756,True
ENSG00000229117,RPL41,65.14120091249389,0.14459172301373635,0.040607084866135214,4.167215980522157,3.083423257958065e-05,0.0012236732828713756,True
ENSG00000153956,CACNA2D1,13.524104035933574,-0.42053459329137194,0.1212648475683702,-4.161562134320605,3.1607796974537374e-05,0.0012236732828713756,True
ENSG00000147403,RPL10,76.68762291317448,0.13372546309810265,0.037358960638047396,4.172532063581059,3.0123319204126926e-05,0.0012236732828713756,True
ENSG00000082438,COBLL1,17.614603818862413,-0.2761049165297589,0.07956119372365109,-4.151131637971905,3.3083540340947314e-05,0.0012583353589328734,True
ENSG00000133112,TPT1,113.13400477556553,0.10977151307360383,0.030648986805433133,4.145733051368741,3.387282781700514e-05,0.0012661429432287439,True
ENSG00000177098,SCN4B,11.136884573793047,-0.3381150180130778,0.09924723492026248,-4.1055408597066565,4.0336997336857104e-05,0.0014822137326492577,True
ENSG00000161533,ACOX1,16.171310371231435,-0.2798823822060073,0.08236434404664303,-4.092753870675019,4.262801290101483e-05,0.0015150415076950843,True
ENSG00000117682,DHDDS,16.978277392315164,-0.27205990130844515,0.07986110067431264,-4.09375584888762,4.244412461181522e-05,0.0015150415076950843,True
ENSG00000196230,TUBB,43.072014429269636,0.17257180822061902,0.05014044141271674,4.086926799361894,4.371249627402548e-05,0.0015285272890659233,True
ENSG00000169710,FASN,73.99228292564224,-0.2805233194932938,0.08417175651661742,-4.038617277379253,5.376720951025729e-05,0.0018502747653688539,True
ENSG00000135677,GNS,40.90174593289702,-0.1922777972529023,0.05728897401884212,-4.033221562582952,5.501736104590167e-05,0.001863713105429919,True
ENSG00000110092,CCND1,24.8428067915448,-0.26841857703121486,0.08122577109105723,-4.015661598047708,5.927926376225279e-05,0.001977191443639447,True
ENSG00000265972,TXNIP,113.98493794944835,0.1114984043895479,0.03266774993569859,4.007098447611097,6.146924582732741e-05,0.0020147717281552924,True
