gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ENSG00000277459,YAP1-DT,1.0682562378145912,-0.0005907297437786271,0.04096177832945486,-0.20338653580494678,0.8388329227548663,,False
ENSG00000277460,ENSG00000277460,0.011363636363636364,-0.00015154476348883377,0.03391015766702554,-0.021999960423875912,0.9824479871082143,,False
ENSG00000277462,ZNF670,1.8864752658127957,-0.0005656975071229694,0.04067685369966696,-0.15257844802188503,0.8787307219594782,,False
ENSG00000277463,ENSG00000277463,0.420491755270932,-0.0002863243468357973,0.04118162932202377,-0.13654347384201862,0.8913916591938982,,False
ENSG00000277465,ENSG00000277465,0.045454545454545456,-4.315693773621454e-06,0.041402031572094745,0.00010833861851325008,0.9999135582891187,,False
ENSG00000277467,RN7SL628P,0.03409090909090909,0.00010373397367821986,0.04662401643743157,0.02874243193134213,0.9770700145470346,,False
ENSG00000277468,ENSG00000277468,0.0,,,,,,False
ENSG00000277469,ENSG00000277469,0.0,,,,,,False
ENSG00000277473,Metazoa_SRP,0.22730993708911382,-0.0021437459972032994,0.04065274826300602,-0.8546329085914787,0.39275440327730593,,False
ENSG00000277474,MIR6894,0.06818181818181818,-3.4958708321241483e-06,0.041373975211829325,0.00013860876627197371,0.9998894062057538,,False
ENSG00000277475,ENSG00000277475,0.1591281189072956,-0.00039157624013702775,0.04035121591635746,-0.1583908098604066,0.8741488550385139,,False
ENSG00000277476,ENSG00000277476,2.522876111992819,0.005190178601907818,0.04144937657432702,1.193978104639347,0.23248653300494115,,False
ENSG00000277478,MIR6165,0.011363636363636364,-0.00015154476348883494,0.03391015766702554,-0.021999960423875912,0.9824479871082143,,False
ENSG00000277481,PKD1L3,0.9205289650873186,-0.0002853952497694452,0.04101091311934582,-0.10927144498354403,0.9129871945520135,,False
ENSG00000277482,ENSG00000277482,0.045454545454545456,-4.315693773621399e-06,0.04140203157209472,0.00010833861851269056,0.9999135582891191,,False
ENSG00000277483,RN7SL321P,0.7500372098163866,-0.0017267549034593228,0.041128800295204375,-0.7283897713371772,0.466375022916917,,False
ENSG00000277491,ENSG00000277491,0.6591281189072956,0.0005753722574512621,0.04114327807843018,0.25983680199835013,0.7949896617769556,,False
ENSG00000277492,ENSG00000277492,0.0,,,,,,False
ENSG00000277496,SLCO4A1-AS2,1.7615124756291827,0.0014344170105275794,0.04081361040199978,0.3979389691430438,0.6906751738639327,,False
ENSG00000277501,ENSG00000277501,0.17045454545454544,0.0010315572171970839,0.04359820854344608,0.42087422967165344,0.6738469240788314,,False
ENSG00000277502,ENSG00000277502,0.2727272727272727,-0.0011387391271282358,0.041115321986206904,-0.46435838637712645,0.6423909991481218,,False
ENSG00000277504,ENSG00000277504,0.20454545454545456,0.0009841505711923942,0.04211654222535288,0.39764980636435177,0.6908883413624253,,False
ENSG00000277506,RN7SL802P,0.011363636363636364,0.0001393315086320774,0.0587308620324664,0.022140944423873384,0.9823355255450126,,False
ENSG00000277510,Metazoa_SRP,0.14776448254365926,0.0001814843994894942,0.04194156950646071,0.07476417160234457,0.9404023489220472,,False
ENSG00000277511,ENSG00000277511,1.3523471469055004,0.0008829786201394274,0.04090707959122703,0.27261924338420396,0.785145917994724,,False
ENSG00000277512,SNORD65,0.0,,,,,,False
ENSG00000277515,RN7SL495P,0.0,,,,,,False
ENSG00000277521,MIR8078,0.0,,,,,,False
ENSG00000277524,ENSG00000277524,0.0,,,,,,False
